gender,genderLooking,age,counts_details,counts_pictures,counts_profileVisits,counts_fans,flirtInterests_chat,flirtInterests_friends,flirtInterests_date,country,isFlirtstar,isHighlighted,isInfluencer,isMobile,isNew,isOnline,isVip,lang_count,lang_fr,lang_en,lang_de,lang_it,lang_es,lang_pt,verified,shareProfileEnabled,lastOnlineDate,lastOnlineTime,birthd,connectedToFacebook,countDetails,description,nbusers,percentwantchats,percentwantfriends,percentwantdates,meanvisitsreceived,meanfollowers,meanlanguagesknown,totalwantchants,totalwantfriends,totalwantdates,totalvisitsreceived,totalfollowers,totallanguagesspoken
0,1,25,1.0,4,8279,0,1,1,1,8,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1429920000000000000,1429994606.0,0,0.0,1.0,1,356,60.1,62.4,44.4,2902.8,2.6,1.1,214,222,158,1033400,923,392
0,1,22,0.85,5,663,0,1,1,1,8,0,0,0,1,0,0,0,3,1,0,1,1,0,0,0,1,1430006400000000000,1430039975.0,0,0.0,0.8500000238418579,1,720,59.9,60.6,40.3,3302.9,1.7,1.07,431,436,290,2378122,1201,771
0,1,21,0.0,4,1369,0,0,0,1,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1428278400000000000,1428330247.0,0,,,0,603,64.0,63.0,35.7,4093.0,2.1,1.12,386,380,215,2468100,1239,678
0,none,20,0.12,3,22187,2,1,1,0,6,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,1428364800000000000,1428405661.0,0,0.0,0.1199999973177909,1,524,67.6,64.9,37.2,4809.5,1.8,1.12,354,340,195,2520195,934,586
0,1,21,0.15,12,35262,9,1,0,0,10,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1428278400000000000,1428330320.0,0,,,1,603,64.0,63.0,35.7,4093.0,2.1,1.12,386,380,215,2468100,1239,678
0,1,24,0.81,18,7339,0,1,0,1,10,0,0,0,1,0,1,0,2,0,1,1,0,0,0,0,1,1428451200000000000,1428503871.0,0,0.0,0.8100000023841858,1,534,61.0,61.4,39.7,3009.6,2.6,1.12,326,328,212,1607127,1378,599
0,none,24,0.65,13,18672,0,0,1,0,10,0,0,0,1,0,1,0,5,0,1,1,0,0,0,0,1,1430092800000000000,1430162998.0,0,0.0,0.6499999761581421,1,534,61.0,61.4,39.7,3009.6,2.6,1.12,326,328,212,1607127,1378,599
0,1,23,0.81,6,19091,0,1,0,1,10,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,1428451200000000000,1428502691.0,0,0.0,0.8100000023841858,1,593,59.7,64.8,39.5,3632.6,3.1,1.09,354,384,234,2154138,1811,648
0,1,20,0.88,14,29984,10,1,1,1,8,0,0,0,1,0,0,0,3,1,1,1,0,0,0,0,1,1428364800000000000,1428436915.0,0,0.0,0.8799999952316284,1,524,67.6,64.9,37.2,4809.5,1.8,1.12,354,340,195,2520195,934,586
0,1,24,0.81,1,5979,1,1,1,1,10,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,1,1428278400000000000,1428336649.0,0,0.0,0.8100000023841858,1,534,61.0,61.4,39.7,3009.6,2.6,1.12,326,328,212,1607127,1378,599
0,1,22,0.54,3,10450,2,1,1,0,13,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1430006400000000000,1430047421.0,0,0.0,0.5400000214576721,1,720,59.9,60.6,40.3,3302.9,1.7,1.07,431,436,290,2378122,1201,771
0,both,20,0.92,5,2612,0,1,1,0,8,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1428451200000000000,1428503665.0,0,0.0,0.9200000166893004,1,524,67.6,64.9,37.2,4809.5,1.8,1.12,354,340,195,2520195,934,586
0,1,22,0.73,22,31736,6,1,0,0,10,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1428278400000000000,1428331937.0,0,,,1,720,59.9,60.6,40.3,3302.9,1.7,1.07,431,436,290,2378122,1201,771
0,1,20,0.85,12,32450,10,1,1,1,8,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1430006400000000000,1430042670.0,0,0.0,0.8500000238418579,1,524,67.6,64.9,37.2,4809.5,1.8,1.12,354,340,195,2520195,934,586
0,1,22,0.96,4,1710,1,0,0,1,10,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1428451200000000000,1428504595.0,0,0.0,0.959999978542328,1,720,59.9,60.6,40.3,3302.9,1.7,1.07,431,436,290,2378122,1201,771
0,1,25,0.58,13,26842,1,0,1,1,8,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1430006400000000000,1430068757.0,0,0.0,0.5799999833106995,1,356,60.1,62.4,44.4,2902.8,2.6,1.1,214,222,158,1033400,923,392
0,1,21,0.69,5,31020,0,1,0,1,10,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1428278400000000000,1428332254.0,0,,,1,603,64.0,63.0,35.7,4093.0,2.1,1.12,386,380,215,2468100,1239,678
0,1,22,1.0,2,20266,0,1,1,1,10,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1429920000000000000,1429936603.0,0,0.0,1.0,1,720,59.9,60.6,40.3,3302.9,1.7,1.07,431,436,290,2378122,1201,771
0,1,20,0.04,4,16683,0,1,0,0,8,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1430006400000000000,1430043968.0,0,0.0,0.0399999991059303,1,524,67.6,64.9,37.2,4809.5,1.8,1.12,354,340,195,2520195,934,586
0,1,25,0.92,7,3413,0,1,0,1,8,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1429920000000000000,1429985473.0,0,0.0,0.9200000166893004,1,356,60.1,62.4,44.4,2902.8,2.6,1.1,214,222,158,1033400,923,392
0,1,19,0.81,13,8310,2,1,0,0,8,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,1,1430006400000000000,1430035627.0,0,0.0,0.8100000023841858,1,523,65.8,62.5,34.2,4279.5,2.6,1.15,344,327,179,2238190,1374,601
0,1,21,0.62,1,25903,0,1,1,1,8,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1428451200000000000,1428505759.0,0,0.0,0.6200000047683716,1,603,64.0,63.0,35.7,4093.0,2.1,1.12,386,380,215,2468100,1239,678
0,1,21,0.85,27,33018,36,1,1,1,8,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1429920000000000000,1429997740.0,0,0.0,0.8500000238418579,1,603,64.0,63.0,35.7,4093.0,2.1,1.12,386,380,215,2468100,1239,678
0,1,22,0.0,15,2502,0,1,0,0,10,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1428278400000000000,1428346335.0,0,0.0,0.0,0,720,59.9,60.6,40.3,3302.9,1.7,1.07,431,436,290,2378122,1201,771
0,1,24,0.19,5,22847,63,1,0,0,30,0,0,0,1,0,0,0,4,1,1,1,1,0,0,1,1,1428364800000000000,1428438077.0,0,0.0,0.1899999976158142,1,534,61.0,61.4,39.7,3009.6,2.6,1.12,326,328,212,1607127,1378,599
0,none,21,1.0,13,7407,0,1,1,1,8,0,0,0,1,0,0,0,3,1,1,1,0,0,0,0,1,1429920000000000000,1429967894.0,0,0.0,1.0,1,603,64.0,63.0,35.7,4093.0,2.1,1.12,386,380,215,2468100,1239,678
0,both,19,0.88,30,16096,6,1,1,0,8,0,0,0,1,0,1,0,2,0,0,1,1,0,0,1,1,1430006400000000000,1430049047.0,0,0.0,0.8799999952316284,1,523,65.8,62.5,34.2,4279.5,2.6,1.15,344,327,179,2238190,1374,601
0,1,22,0.88,9,15457,0,1,1,1,8,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1428278400000000000,1428321599.0,0,,,1,720,59.9,60.6,40.3,3302.9,1.7,1.07,431,436,290,2378122,1201,771
0,1,20,1.0,18,6962,0,1,1,1,10,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1430006400000000000,1430036281.0,0,0.0,1.0,1,524,67.6,64.9,37.2,4809.5,1.8,1.12,354,340,195,2520195,934,586
0,both,22,0.69,30,30863,121,0,0,1,8,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1428451200000000000,1428505744.0,0,0.0,0.6899999976158142,1,720,59.9,60.6,40.3,3302.9,1.7,1.07,431,436,290,2378122,1201,771
0,1,24,0.85,3,51339,1,1,0,0,8,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1428451200000000000,1428489516.0,0,0.0,0.8500000238418579,1,534,61.0,61.4,39.7,3009.6,2.6,1.12,326,328,212,1607127,1378,599
0,1,21,0.96,7,3471,4,0,0,1,8,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1428451200000000000,1428506076.0,0,0.0,0.959999978542328,1,603,64.0,63.0,35.7,4093.0,2.1,1.12,386,380,215,2468100,1239,678
0,1,25,0.85,18,12050,7,0,1,1,8,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1428364800000000000,1428437514.0,0,0.0,0.8500000238418579,1,356,60.1,62.4,44.4,2902.8,2.6,1.1,214,222,158,1033400,923,392
0,1,24,1.0,12,26982,0,1,0,1,8,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1428451200000000000,1428502966.0,0,0.0,1.0,1,534,61.0,61.4,39.7,3009.6,2.6,1.12,326,328,212,1607127,1378,599
0,1,24,0.96,7,1820,0,1,1,0,8,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1430006400000000000,1430048705.0,0,0.0,0.959999978542328,1,534,61.0,61.4,39.7,3009.6,2.6,1.12,326,328,212,1607127,1378,599
0,none,22,0.96,18,11507,58,1,0,0,8,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1428451200000000000,1428488055.0,0,0.0,0.959999978542328,1,720,59.9,60.6,40.3,3302.9,1.7,1.07,431,436,290,2378122,1201,771
0,1,21,0.92,10,17655,0,1,1,1,8,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1430006400000000000,1430043723.0,0,0.0,0.9200000166893004,1,603,64.0,63.0,35.7,4093.0,2.1,1.12,386,380,215,2468100,1239,678
0,1,21,0.81,11,47000,82,1,0,0,10,0,0,0,1,0,0,0,2,0,0,1,1,0,0,1,1,1428364800000000000,1428442940.0,0,0.0,0.8100000023841858,1,603,64.0,63.0,35.7,4093.0,2.1,1.12,386,380,215,2468100,1239,678
0,1,19,0.77,8,12754,2,1,1,1,8,0,0,0,1,0,1,0,4,1,1,1,0,1,0,0,1,1428451200000000000,1428505257.0,0,0.0,0.7699999809265137,1,523,65.8,62.5,34.2,4279.5,2.6,1.15,344,327,179,2238190,1374,601
0,1,19,0.12,3,7694,14,1,1,1,8,0,0,0,1,0,0,0,4,1,1,1,0,0,0,0,1,1430006400000000000,1430011055.0,0,0.0,0.1199999973177909,0,523,65.8,62.5,34.2,4279.5,2.6,1.15,344,327,179,2238190,1374,601
0,1,25,0.92,20,4372,16,1,0,0,8,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1430006400000000000,1430044395.0,0,0.0,0.9200000166893004,1,356,60.1,62.4,44.4,2902.8,2.6,1.1,214,222,158,1033400,923,392
0,1,22,0.19,5,9700,0,1,0,0,8,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1428451200000000000,1428489012.0,0,0.0,0.1899999976158142,1,720,59.9,60.6,40.3,3302.9,1.7,1.07,431,436,290,2378122,1201,771
0,1,20,0.88,3,10531,1,1,0,0,8,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1430006400000000000,1430042696.0,0,0.0,0.8799999952316284,1,524,67.6,64.9,37.2,4809.5,1.8,1.12,354,340,195,2520195,934,586
0,1,19,0.85,8,16458,15,1,0,1,8,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1430006400000000000,1430048036.0,0,0.0,0.8500000238418579,1,523,65.8,62.5,34.2,4279.5,2.6,1.15,344,327,179,2238190,1374,601
0,1,20,0.85,5,264,0,0,1,0,8,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1430006400000000000,1430040505.0,0,0.0,0.8500000238418579,1,524,67.6,64.9,37.2,4809.5,1.8,1.12,354,340,195,2520195,934,586
