counts_kisses
239
13
88
1015
1413
180
492
1348
2389
147
421
117
2102
787
116
643
1195
1148
647
86
143
982
812
25
1282
125
533
431
361
1901
2926
38
478
710
25
194
468
1469
368
143
134
124
360
486
6
1065
316
1717
1016
297
216
328
81
158
97
89
37
754
138
548
2358
1196
3679
292
272
132
35
1306
203
530
301
1173
335
39
772
623
610
6155
1194
0
348
1978
638
450
52
362
467
1187
1898
317
593
3739
734
290
20
551
1854
1027
2750
1084
158
1117
413
241
730
316
355
746
22
644
88
644
298
2146
3687
1116
276
667
189
396
142
188
40
1861
338
247
520
885
764
29
2338
657
759
225
2137
1559
42
216
864
234
120
57
180
670
475
242
164
64
3
1414
6
62
3556
461
4269
801
323
9288
478
28
238
178
405
4527
164
300
88
2187
490
115
106
500
1306
53
333
242
163
234
43
426
437
4
617
518
735
233
1003
119
1235
729
1046
93
862
277
137
481
640
942
1106
618
1346
41
271
889
906
217
520
339
1925
79
200
4
151
239
317
926
2135
275
132
157
168
718
831
918
837
163
413
149
211
143
123
1928
4436
303
491
1004
844
55
447
321
3599
139
98
656
170
697
263
1680
268
115
223
6
1754
1058
3099
190
334
914
1428
754
115
52
20
53
643
5
582
1564
57
1045
957
1068
666
1046
945
1301
40
1725
851
314
121
608
1188
106
104
152
245
61
757
169
290
24
530
199
1484
14
28
1120
703
719
330
335
260
80
2108
419
91
1401
197
455
23
589
426
141
340
1911
372
86
391
81
306
59
72
991
476
22
208
100
881
131
664
412
116
65
415
16
41
397
318
178
25
53
236
144
497
672
1180
79
741
929
632
393
270
307
1484
112
764
219
171
187
309
55
166
200
79
267
95
66
347
21
77
552
557
137
1063
105
220
132
319
44
104
376
211
359
1133
270
346
1250
1186
1315
263
1167
15
1340
661
50
657
301
659
27
987
426
704
184
259
347
1623
263
1732
33
66
38
306
53
737
93
151
29
181
910
835
240
219
313
1222
405
30
1185
331
2674
161
181
155
756
42
610
894
48
81
9
51
32
809
114
129
905
267
91
189
203
711
84
1004
137
91
20
555
75
52
214
48
1073
137
33
1480
1414
283
77
588
17
183
112
34
113
904
41
313
83
314
176
188
127
152
949
1112
389
66
12
87
3
556
43
733
69
116
0
436
202
556
214
168
87
1054
2265
133
263
773
240
17
864
164
256
231
0
63
1222
47
26
8
883
58
8
144
3
1019
154
413
120
157
954
826
195
166
392
297
28
194
190
177
533
0
912
282
202
53
661
384
827
1164
234
0
106
572
22
71
91
545
72
330
326
67
181
19
76
159
1791
85
11
321
35
494
35
24
352
19
217
462
1025
797
1425
465
72
650
447
36
164
52
10
174
56
345
25
777
40
29
56
131
679
50
43
36
13
137
121
307
101
363
104
63
37
41
62
34
34
156
200
785
175
857
471
1613
93
144
102
98
467
583
139
93
342
81
121
116
69
275
233
201
1224
111
23
128
591
529
876
282
896
1902
22
289
123
455
604
9
63
8
531
97
84
1470
127
646
288
343
64
713
230
116
54
362
126
23
141
320
309
1
208
257
437
1233
73
389
41
403
430
1329
36
13
157
186
683
25
209
219
45
85
295
316
84
15
79
187
37
152
37
186
58
314
325
403
168
171
214
300
91
57
825
132
79
55
136
126
260
10
201
6
171
111
46
98
65
78
17
129
278
4114
20
414
421
453
680
134
190
49
23
204
32
285
1
173
210
57
79
167
41
51
110
38
220
6
474
153
854
3
304
136
317
798
535
529
4
70
188
98
46
60
596
811
371
177
218
39
103
82
387
1135
9
372
178
218
62
42
763
154
480
160
255
252
23
782
327
139
102
278
562
146
276
1109
178
261
47
27
23
555
155
29
387
108
99
175
61
214
771
69
501
695
165
48
42
257
9
155
223
531
79
7
106
170
132
79
171
190
466
91
22
1169
51
74
2
186
1
130
513
58
85
19
580
290
114
259
0
79
813
264
39
19
94
84
0
219
27
300
21
100
543
101
67
168
608
103
19
98
22
6
290
99
9
283
101
243
399
101
154
9
378
462
216
418
59
215
709
14
354
1
120
90
16
237
76
156
945
115
1253
95
264
207
869
255
35
59
444
744
60
0
233
7
25
195
33
201
70
3
55
141
475
369
202
87
279
167
80
214
123
186
17
132
72
49
25
471
1010
184
70
232
343
191
60
1
89
454
588
231
175
57
25
242
0
309
425
386
81
31
377
340
118
56
312
165
14
723
106
95
133
186
231
67
86
371
91
264
177
123
21
338
35
238
222
389
80
57
454
76
222
290
377
68
248
75
105
93
86
308
263
356
81
143
50
137
53
1565
645
67
67
21
106
18
1113
543
100
5
31
256
29
183
48
203
436
132
125
110
283
97
291
505
16
746
39
58
267
973
583
270
174
80
110
247
334
49
601
74
177
16
782
63
0
184
250
643
105
10
293
19
36
107
30
42
47
54
197
53
111
131
115
7
567
152
190
75
16
28
0
121
187
41
0
198
133
304
78
403
100
90
42
135
83
30
0
207
10
208
180
12
129
346
451
20
94
119
205
57
60
413
141
4
58
228
364
65
81
17
242
145
36
87
114
2
52
120
14
223
50
31
117
285
224
74
100
350
172
67
284
201
20
37
250
78
294
9
63
61
342
379
53
113
172
55
324
85
53
123
58
48
234
247
128
86
93
105
114
188
74
148
32
180
182
259
108
64
331
391
76
7
23
295
0
295
132
40
31
51
179
127
196
41
635
86
360
195
34
175
22
2
179
389
80
47
413
37
181
586
191
15
465
23
270
26
21
195
36
156
58
28
169
111
134
11
133
479
689
9
127
76
43
145
5
73
115
160
352
38
160
205
353
121
138
71
55
1
33
76
33
146
80
72
179
304
74
77
69
222
170
80
29
148
282
126
198
81
82
112
149
291
263
52
40
45
152
125
27
27
180
271
13
163
35
266
23
4
89
68
104
0
500
27
193
55
340
52
215
174
189
83
347
117
644
383
123
35
61
221
85
0
14
348
13
101
29
371
88
151
41
247
297
376
104
74
68
118
75
229
93
581
120
145
114
138
68
77
88
410
277
140
127
105
124
120
101
11
193
25
121
73
25
220
8
